district,sub_district,neighborhood,location_id,listing_count,lat,lon,geocode_strategy,is_district_center,display_name
arnavutkoy,arnavutkoy,anadolu,0,32,41.1851685,28.7494522,1.0,0.0,"Anadolu Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,arnavutkoy,arnavutkoy merkez,1,27,41.1823968,28.7426319,1.0,0.0,"Arnavutköy Merkez Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,arnavutkoy,hadimkoy,2,34,41.1585587,28.6212692,1.0,0.0,"Hadımköy Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,arnavutkoy,i̇mrahor,3,2,41.2156124,28.7463257,1.0,0.0,"İmrahor Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34275, Türkiye"
arnavutkoy,arnavutkoy,i̇slambey,4,33,41.1885825,28.7415591,1.0,0.0,"İslambey Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,arnavutkoy,mustafa kemal pasa,5,18,41.1868267,28.7358834,1.0,0.0,"Mustafa Kemal Paşa Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,arnavutkoy,nenehatun,6,8,41.1821756,28.740234,1.0,0.0,"Nenehatun Caddesi, Arnavutköy Merkez Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34275, Türkiye"
arnavutkoy,arnavutkoy,yavuz selim,7,8,41.2063186,28.7307262,1.0,0.0,"Yavuz Selim Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,arnavutkoy,yunus emre,8,6,41.1851922,28.7605273,1.0,0.0,"Yunus Emre Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,bogazkoy,ataturk,9,13,41.180139,28.763479,1.0,0.0,"Boğazköy Atatürk Caddesi, Efeler Sokağı, Boğazköy İstiklal Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34285, Türkiye"
arnavutkoy,bogazkoy,bogazkoy i̇stiklal,10,4,41.180795,28.770647,1.0,0.0,"Boğazköy, Milli Egemenlik Caddesi, Boğazköy İstiklal Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34285, Türkiye"
arnavutkoy,bolluca,hicret,11,6,41.1986596,28.7666478,2.0,0.0,"Bolluca Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34287, Türkiye"
arnavutkoy,bolluca,mavigol,12,17,41.2185352,28.7696946,1.0,0.0,"Mavigöl Göleti, Bolluca Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,bolluca,merkez,13,15,41.1974977,28.7650153,1.0,0.0,"Bolluca Merkez Camii, İsmet İnönü Caddesi, Hicret Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34287, Türkiye"
arnavutkoy,hadimkoy(boyalik),deliklikaya,14,14,41.184471,28.7412446,3.0,1.0,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,hadimkoy(boyalik),dursunkoy,15,1,41.184471,28.7412446,3.0,1.0,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,hadimkoy(boyalik),hastane,16,5,41.184471,28.7412446,3.0,1.0,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,hadimkoy(boyalik),omerli,17,7,41.184471,28.7412446,3.0,1.0,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,haracci,haracci,18,10,41.177438,28.702325,1.0,0.0,"Haraççı, Haraççı - Hadımköy Yolu, Haraççı Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34281, Türkiye"
arnavutkoy,haracci,karlibayir,19,16,41.18262,28.720008,1.0,0.0,"Karlıbayır, Bayrak Sokağı, Karlıbayır Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34281, Türkiye"
arnavutkoy,koyler,tayakadin,20,1,41.184471,28.7412446,3.0,1.0,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,koyler,yassioren,21,1,41.184471,28.7412446,3.0,1.0,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
arnavutkoy,tasoluk,adnan menderes,22,1,41.199995,28.704637,1.0,0.0,"Adnan Menderes Caddesi, Egemen Caddesi, Mehmet Akif Ersoy Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34283, Türkiye"
arnavutkoy,tasoluk,fatih,23,3,41.2070653,28.715889,2.0,0.0,"Taşoluk, Atatürk Caddesi, Mehmet Akif Ersoy Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34283, Türkiye"
arnavutkoy,tasoluk,maresal fevzi cakmak,24,6,41.2070653,28.715889,2.0,0.0,"Taşoluk, Atatürk Caddesi, Mehmet Akif Ersoy Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34283, Türkiye"
arnavutkoy,tasoluk,mehmet akif ersoy,25,10,41.2070653,28.715889,2.0,0.0,"Taşoluk, Atatürk Caddesi, Mehmet Akif Ersoy Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34283, Türkiye"
