price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
13000.0,85.0,2+1,esenyurt,merkez,3.0,14.63
14000.0,95.0,2+1,esenyurt,merkez,3.0,14.63
12500.0,130.0,3+1,basaksehir,ikitelli,4.0,36.84
13000.0,90.0,2+1,esenyurt,merkez,3.0,14.63
14000.0,150.0,3+1,esenyurt,merkez,4.0,14.63
12500.0,100.0,2+1,bayrampasa,yildirim,3.0,21.76
13000.0,80.0,1+1,esenyurt,merkez,2.0,14.63
13000.0,160.0,5+1,avcilar,merkez,6.0,39.71
13000.0,46.0,Stüdyo (1+0),esenyurt,merkez,1.0,14.63
13500.0,60.0,1+1,esenyurt,merkez,2.0,14.63
14000.0,110.0,3+1,esenler,sanayi,4.0,25.96
12500.0,80.0,1+1,basaksehir,ikitelli,2.0,36.84
13000.0,110.0,2+1,esenyurt,merkez,3.0,14.63
12500.0,120.0,3+1,umraniye,cakmak,4.0,42.72
13500.0,70.0,1+1,esenyurt,merkez,2.0,14.63
14000.0,179.0,2+1,esenyurt,merkez,3.0,14.63
14000.0,53.0,Stüdyo (1+0),buyukcekmece,celaliye(kamiloba),1.0,14.19
13500.0,110.0,2+1,avcilar,yesilkent,3.0,39.71
14000.0,70.0,1+1,basaksehir,ikitelli,2.0,36.84
12500.0,120.0,Stüdyo (1+0),fatih,kocamustafapasa,1.0,93.75
13500.0,84.0,1+1,esenyurt,merkez,2.0,14.63
14000.0,60.0,1+1,sultanbeyli,mehmetakif,2.0,7.94
13000.0,90.0,2+1,avcilar,firuzkoy,3.0,39.71
13000.0,100.0,2+1,esenyurt,merkez,3.0,14.63
12500.0,65.0,2+1,bagcilar,merkez,3.0,46.1
12500.0,90.0,2+1,beyoglu,kasimpasa,3.0,70.74
36000.0,110.0,2+1,beyoglu,piri pasa,3.0,70.74
36000.0,77.0,2+1,beyoglu,cihangir,3.0,70.74
35000.0,85.0,2+1,beyoglu,piri pasa,3.0,70.74
36500.0,60.0,1+1,beyoglu,sehit muhtar,2.0,70.74
32000.0,140.0,3+1,beyoglu,piyalepasa,4.0,70.74
35000.0,98.0,3+1,beyoglu,ornektepe,4.0,70.74
32500.0,75.0,2+1,beyoglu,yenisehir,3.0,70.74
33000.0,70.0,2+1,beyoglu,halicioglu,3.0,70.74
32000.0,65.0,2+1,beyoglu,piri pasa,3.0,70.74
35000.0,65.0,1+1,beyoglu,omer avni,2.0,70.74
35000.0,65.0,1+1,beyoglu,gumussuyu,2.0,70.74
36000.0,80.0,2+1,beyoglu,firuzaga,3.0,70.74
35000.0,65.0,1+1,beyoglu,yenisehir,2.0,70.74
33000.0,50.0,1+1,beyoglu,firuzaga,2.0,70.74
32000.0,80.0,2+1,beyoglu,kucuk piyale,3.0,70.74
33000.0,75.0,1+1,beyoglu,sehit muhtar,2.0,70.74
32000.0,80.0,2+1,beyoglu,kadimehmet efendi,3.0,70.74
36000.0,70.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74
35000.0,85.0,2+1,beyoglu,haciahmet,3.0,70.74
35000.0,55.0,1+1,beyoglu,firuzaga,2.0,70.74
35000.0,70.0,1+1,beyoglu,tomtom,2.0,70.74
35000.0,110.0,2+1,beyoglu,piri pasa,3.0,70.74
33000.0,70.0,1+1,beyoglu,tomtom,2.0,70.74
32000.0,90.0,2+1,beyoglu,kadimehmet efendi,3.0,70.74
34500.0,130.0,3+1,beyoglu,piyalepasa,4.0,70.74
36000.0,130.0,2+1,beyoglu,piri pasa,3.0,70.74
35000.0,55.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74
35000.0,45.0,1+1,beyoglu,kuloglu,2.0,70.74
32000.0,50.0,1+1,beyoglu,kuloglu,2.0,70.74
35500.0,60.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74
35000.0,60.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74
32500.0,95.0,2+1,beyoglu,kucuk piyale,3.0,70.74
32000.0,70.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74
35000.0,55.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74
32000.0,65.0,1+1,beyoglu,cihangir,2.0,70.74
36500.0,80.0,1+1,beyoglu,firuzaga,2.0,70.74
36500.0,70.0,1+1,beyoglu,cihangir,2.0,70.74
32000.0,50.0,Stüdyo (1+0),beyoglu,kuloglu,1.0,70.74
35000.0,55.0,1+1,beyoglu,kocatepe,2.0,70.74
37000.0,60.0,1+1,beyoglu,sehit muhtar,2.0,70.74
35000.0,80.0,1+1,beyoglu,catma mescit,2.0,70.74
35000.0,130.0,3+1,beyoglu,ornektepe,4.0,70.74
35000.0,70.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74
35000.0,75.0,2+1,beyoglu,hacimimi,3.0,70.74
32000.0,65.0,2+1,beyoglu,yenisehir,3.0,70.74
32000.0,60.0,1+1,beyoglu,gumussuyu,2.0,70.74
35000.0,55.0,1+1,beyoglu,omer avni,2.0,70.74
34000.0,90.0,2+1,beyoglu,ornektepe,3.0,70.74
35000.0,95.0,2+1,beyoglu,sehit muhtar,3.0,70.74
35000.0,60.0,1+1,beyoglu,omer avni,2.0,70.74
35000.0,85.0,2+1,beyoglu,kocatepe,3.0,70.74
33000.0,70.0,2+1,beyoglu,yahya kahya,3.0,70.74
32000.0,85.0,2+1,beyoglu,kulaksiz,3.0,70.74
36000.0,105.0,4+1,beyoglu,sutluce,5.0,70.74
32000.0,90.0,2+1,beyoglu,yenisehir,3.0,70.74
32000.0,120.0,2+1,beyoglu,piyalepasa,3.0,70.74
33000.0,60.0,2+1,beyoglu,kamer hatun,3.0,70.74
32500.0,85.0,2+1,beyoglu,haciahmet,3.0,70.74
35500.0,45.0,1+1,beyoglu,yenisehir,2.0,70.74
37000.0,60.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74
36000.0,75.0,2+1,beyoglu,sururi mehmet efendi,3.0,70.74
37000.0,110.0,2+1,beyoglu,piri pasa,3.0,70.74
35000.0,80.0,2+1,beyoglu,purtelas hasan efendi,3.0,70.74
35000.0,70.0,2+1,beyoglu,kulaksiz,3.0,70.74
34200.0,75.0,1+1,beyoglu,camiikebir,2.0,70.74
37000.0,50.0,Stüdyo (1+0),beyoglu,firuzaga,1.0,70.74
32500.0,55.0,1+1,beyoglu,halicioglu,2.0,70.74
35000.0,120.0,3+1,beyoglu,kucuk piyale,4.0,70.74
36000.0,130.0,3+1,beyoglu,kulaksiz,4.0,70.74
33000.0,110.0,2+1,beyoglu,halicioglu,3.0,70.74
33000.0,90.0,2+1,beyoglu,piri pasa,3.0,70.74
35000.0,100.0,2+1,beyoglu,halicioglu,3.0,70.74
37000.0,85.0,2+1,beyoglu,piri pasa,3.0,70.74
42000.0,90.0,3+1,beyoglu,sururi mehmet efendi,4.0,70.74
39500.0,57.0,1+1,beyoglu,halicioglu,2.0,70.74
39000.0,78.0,1+1,beyoglu,piri pasa,2.0,70.74
45000.0,85.0,2+1,beyoglu,sutluce,3.0,70.74
43000.0,85.0,2+1,beyoglu,sutluce,3.0,70.74
45000.0,90.0,2+1,beyoglu,firuzaga,3.0,70.74
45000.0,120.0,3+1,beyoglu,kaptanpasa,4.0,70.74
40000.0,65.0,1+1,beyoglu,kuloglu,2.0,70.74
40000.0,100.0,2+1,beyoglu,yenisehir,3.0,70.74
45000.0,90.0,2+1,beyoglu,kocatepe,3.0,70.74
40000.0,115.0,3+1,beyoglu,kocatepe,4.0,70.74
45000.0,55.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74
42000.0,60.0,1+1,beyoglu,cihangir,2.0,70.74
42000.0,120.0,3+1,beyoglu,piri pasa,4.0,70.74
38000.0,80.0,2+1,beyoglu,ornektepe,3.0,70.74
40000.0,60.0,1+1,beyoglu,firuzaga,2.0,70.74
38500.0,67.0,1+1,beyoglu,haciahmet,2.0,70.74
40000.0,85.0,2+1,beyoglu,kadimehmet efendi,3.0,70.74
40000.0,100.0,1+1,beyoglu,huseyinaga,2.0,70.74
45000.0,120.0,2+2,beyoglu,ornektepe,4.0,70.74
45000.0,100.0,2+1,beyoglu,kuloglu,3.0,70.74
40000.0,125.0,2+1,beyoglu,kalyoncu kullugu,3.0,70.74
40000.0,97.0,2+1,beyoglu,piri pasa,3.0,70.74
40000.0,60.0,1+1,beyoglu,cihangir,2.0,70.74
42500.0,115.0,3+1,beyoglu,halicioglu,4.0,70.74
45000.0,75.0,2+1,beyoglu,firuzaga,3.0,70.74
42000.0,75.0,1+1,beyoglu,cihangir,2.0,70.74
45000.0,80.0,3+1,beyoglu,firuzaga,4.0,70.74
40000.0,130.0,2+1,beyoglu,halicioglu,3.0,70.74
40000.0,80.0,1+1,beyoglu,haciahmet,2.0,70.74
45000.0,80.0,2+1,beyoglu,gumussuyu,3.0,70.74
43000.0,80.0,1+1,beyoglu,piri pasa,2.0,70.74
45000.0,70.0,1+1,beyoglu,haciahmet,2.0,70.74
45000.0,60.0,1+1,beyoglu,gumussuyu,2.0,70.74
42000.0,85.0,2+1,beyoglu,ornektepe,3.0,70.74
40000.0,90.0,2+1,beyoglu,kaptanpasa,3.0,70.74
40000.0,95.0,2+1,beyoglu,piri pasa,3.0,70.74
39000.0,60.0,1+1,beyoglu,tomtom,2.0,70.74
40000.0,65.0,1+1,beyoglu,catma mescit,2.0,70.74
40000.0,105.0,1+1,beyoglu,kuloglu,2.0,70.74
45000.0,85.0,2+1,beyoglu,cihangir,3.0,70.74
40000.0,85.0,2+1,beyoglu,kulaksiz,3.0,70.74
40000.0,55.0,Stüdyo (1+0),beyoglu,hacimimi,1.0,70.74
42000.0,85.0,2+1,beyoglu,kalyoncu kullugu,3.0,70.74
45000.0,75.0,1+1,beyoglu,kuloglu,2.0,70.74
43500.0,80.0,2+1,beyoglu,tomtom,3.0,70.74
40000.0,65.0,1+1,beyoglu,bereketzade,2.0,70.74
45000.0,120.0,3+1,beyoglu,ornektepe,4.0,70.74
42500.0,80.0,2+1,beyoglu,gumussuyu,3.0,70.74
45000.0,55.0,1+1,beyoglu,sehit muhtar,2.0,70.74
42000.0,55.0,1+1,beyoglu,sehit muhtar,2.0,70.74
40000.0,60.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74
45000.0,95.0,2+1,beyoglu,kececi piri,3.0,70.74
40000.0,120.0,2+1,beyoglu,kocatepe,3.0,70.74
42000.0,95.0,2+1,beyoglu,sehit muhtar,3.0,70.74
45000.0,100.0,2+1,beyoglu,cihangir,3.0,70.74
45000.0,85.0,2+1,beyoglu,yenisehir,3.0,70.74
45000.0,85.0,2+1,beyoglu,gumussuyu,3.0,70.74
43000.0,110.0,2+1,beyoglu,firuzaga,3.0,70.74
45000.0,118.0,3+1,beyoglu,halicioglu,4.0,70.74
41500.0,60.0,2+1,beyoglu,kuloglu,3.0,70.74
45000.0,75.0,1+1,beyoglu,evliya celebi,2.0,70.74
45000.0,95.0,2+1,beyoglu,firuzaga,3.0,70.74
