price,area_m2,room_count,district,sub_district,neighborhood,price_min_filter,price_max_filter
12.000 TL,75,1+1,arnavutkoy,Boğazköy,Atatürk Mh.,10000,14000
14.000 TL,80,2+1,arnavutkoy,Arnavutköy,Mustafa Kemal Paşa Mh.,10000,14000
13.000 TL,80,2+1,arnavutkoy,Haraççı,Karlıbayır Mh.,10000,14000
,,,arnavutkoy,,,10000,14000
14.000 TL,75,1.5+1,arnavutkoy,Arnavutköy,Yunus Emre Mah.,10000,14000
13.000 TL,90,2+1,arnavutkoy,Arnavutköy,Yavuz Selim Mah.,10000,14000
13.000 TL,75,2+1,arnavutkoy,Arnavutköy,Yunus Emre Mah.,10000,14000
13.500 TL,65,1+1,arnavutkoy,Arnavutköy,İslambey Mh.,10000,14000
13.000 TL,85,2+1,arnavutkoy,Arnavutköy,Arnavutköy Merkez Mh.,10000,14000
13.000 TL,70,1+1,arnavutkoy,Taşoluk,Mehmet Akif Ersoy Mah.,10000,14000
18.000 TL,100,2+1,arnavutkoy,Taşoluk,Mehmet Akif Ersoy Mah.,14001,18000
15.500 TL,60,1+1,arnavutkoy,Arnavutköy,İslambey Mh.,14001,18000
15.500 TL,65,2+0,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
,,,arnavutkoy,,,14001,18000
17.750 TL,85,2+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
15.000 TL,60,1+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
17.000 TL,85,2+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
15.500 TL,70,2+1,arnavutkoy,Arnavutköy,İslambey Mh.,14001,18000
16.000 TL,70,1+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
,,,arnavutkoy,,,14001,18000
16.450 TL,80,1+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
18.000 TL,80,2+1,arnavutkoy,Arnavutköy,Arnavutköy Merkez Mh.,14001,18000
14.500 TL,90,2+1,arnavutkoy,Haraççı,Karlıbayır Mh.,14001,18000
15.000 TL,75,1+1,arnavutkoy,Haraççı,Karlıbayır Mh.,14001,18000
16.500 TL,85,2+1,arnavutkoy,Arnavutköy,İslambey Mh.,14001,18000
17.000 TL,105,3+1,arnavutkoy,Arnavutköy,Hadımköy Mh.,14001,18000
17.000 TL,85,2+1,arnavutkoy,Arnavutköy,İslambey Mh.,14001,18000
15.000 TL,80,2+1,arnavutkoy,Hadımköy(Boyalık),Deliklikaya Mah.,14001,18000
18.000 TL,120,2+1,arnavutkoy,Taşoluk,Fatih Mah.,14001,18000
15.000 TL,75,1+1,arnavutkoy,Arnavutköy,Mustafa Kemal Paşa Mh.,14001,18000
15.000 TL,65,1+1,arnavutkoy,Boğazköy,Boğazköy İstiklal Mh.,14001,18000
17.000 TL,65,1+1,arnavutkoy,Hadımköy(Boyalık),Deliklikaya Mah.,14001,18000
18.000 TL,120,3+1,arnavutkoy,Arnavutköy,Yunus Emre Mah.,14001,18000
16.000 TL,70,1+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
18.000 TL,97,2+1,arnavutkoy,Bolluca,Hicret Mah.,14001,18000
,,,arnavutkoy,,,14001,18000
16.500 TL,90,2+1,arnavutkoy,Arnavutköy,Yunus Emre Mah.,14001,18000
15.000 TL,65,1+1,arnavutkoy,Arnavutköy,Mustafa Kemal Paşa Mh.,14001,18000
15.000 TL,90,2+1,arnavutkoy,Arnavutköy,Anadolu Mah.,14001,18000
17.000 TL,75,1+1,arnavutkoy,Arnavutköy,İslambey Mh.,14001,18000
15.000 TL,110,2+1,arnavutkoy,Arnavutköy,Nenehatun Mah.,14001,18000
17.000 TL,85,2+1,arnavutkoy,Arnavutköy,Nenehatun Mah.,14001,18000
15.000 TL,80,2+1,arnavutkoy,Boğazköy,Atatürk Mh.,14001,18000
17.000 TL,100,2+1,arnavutkoy,Taşoluk,Taşoluk Mh.,14001,18000
