price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
13000.0,85.0,2+1,Esenyurt,Merkez,3.0,12.36
14000.0,95.0,2+1,Esenyurt,Merkez,3.0,12.36
12500.0,130.0,3+1,Başakşehir,İkitelli,4.0,10.0
13000.0,90.0,2+1,Esenyurt,Merkez,3.0,12.36
14000.0,150.0,3+1,Esenyurt,Merkez,4.0,12.36
10000.0,75.0,2+1,Beykoz,Anadoluhisarı,3.0,10.0
12500.0,100.0,2+1,Bayrampaşa,Yıldırım,3.0,10.0
12000.0,80.0,1+1,Sultangazi,Sultançiftliği,2.0,10.0
13000.0,80.0,1+1,Esenyurt,Merkez,2.0,12.36
10000.0,85.0,2+1,Üsküdar,Ferah,3.0,52.38
13000.0,160.0,5+1,Avcılar,Merkez,6.0,38.57
13000.0,46.0,Stüdyo (1+0),Esenyurt,Merkez,1.0,12.36
13500.0,60.0,1+1,Esenyurt,Merkez,2.0,12.36
12000.0,80.0,1+1,Beyoğlu,Tarlabaşı,2.0,69.14
14000.0,110.0,3+1,Esenler,Sanayi,4.0,10.0
10000.0,100.0,2+1,Ümraniye,Aşağıdudullu,3.0,40.45
12500.0,80.0,1+1,Başakşehir,İkitelli,2.0,10.0
13000.0,110.0,2+1,Esenyurt,Merkez,3.0,12.36
12500.0,120.0,3+1,Ümraniye,Çakmak,4.0,40.45
10000.0,120.0,3+1,Fatih,Akdeniz,4.0,93.75
13500.0,70.0,1+1,Esenyurt,Merkez,2.0,12.36
14000.0,179.0,2+1,Esenyurt,Merkez,3.0,12.36
12000.0,90.0,2+1,Esenyurt,Merkez,3.0,12.36
14000.0,53.0,Stüdyo (1+0),Büyükçekmece,Celaliye(Kamiloba),1.0,10.0
10000.0,100.0,4+1,Beykoz,Köyler,5.0,10.0
13500.0,110.0,2+1,Avcılar,Yeşilkent,3.0,38.57
12000.0,70.0,1+1,Esenyurt,Merkez,2.0,12.36
14000.0,70.0,1+1,Başakşehir,İkitelli,2.0,10.0
12500.0,120.0,Stüdyo (1+0),Fatih,Kocamustafapaşa,1.0,93.75
13500.0,84.0,1+1,Esenyurt,Merkez,2.0,12.36
14000.0,60.0,1+1,Sultanbeyli,Mehmetakif,2.0,10.0
12000.0,65.0,1+1,Esenyurt,Merkez,2.0,12.36
