name,category,weight,lat,lon
Karaköy,funicular,0.5,41.0228645,28.9740393
Beyoğlu,funicular,0.5,41.0283447,28.9739892
Zeytinburnu-Fişekhane,other,0.5,40.9858638,28.9054568
Küçükyalı,marmaray,1.0,40.946258,29.1071674
Atalar,marmaray,1.0,40.8987868,29.1691914
Cevizli,marmaray,1.0,40.9100807,29.1559855
Kurfallı,halt,0.5,41.2115691,28.2635115
Sinekli,other,0.5,41.2310387,28.1923087
İdealtepe,marmaray,1.0,40.9378351,29.1142301
Süreyya Plajı,marmaray,1.0,40.9267803,29.1242545
Maltepe,marmaray,1.0,40.920811,29.1332851
Pendik,marmaray,1.0,40.8802417,29.231651
Gayrettepe,metro,1.0,41.0690337,29.0111192
Kartal,marmaray,1.0,40.8886924,29.1910793
Florya,other,0.5,40.972897,28.7876122
Yenimahale,other,0.5,40.9817256,28.8810529
Yeşilyurt,other,0.5,40.9654468,28.8373253
Emniyet - Fatih,metro,1.0,41.0174183,28.9396007
Yeşilköy,other,0.5,40.9626544,28.824857
Kadıköy,metro,1.0,40.9905872,29.0220448
Ayrılık Çeşmesi,metro,1.0,41.0001678,29.0302593
Yenisahra,metro,1.0,40.9845938,29.0904257
Göztepe,metro,1.0,40.9940938,29.0706141
Acıbadem,metro,1.0,41.0023323,29.0444009
Bostancı,metro,1.0,40.964688,29.1053769
Yunus,marmaray,1.0,40.8845607,29.2104051
Erenköy,marmaray,1.0,40.9716791,29.0763662
Maltepe,metro,1.0,40.9358681,29.139504
Kartal,metro,1.0,40.9065852,29.2113435
Küçükyalı,metro,1.0,40.9489271,29.1219958
Seyrantepe,metro,1.0,41.1011898,28.9957261
Sanayi,metro,1.0,41.0942135,29.0051754
Atatürk Oto Sanayi,metro,1.0,41.1180498,29.0241763
Halkalı,marmaray,1.0,41.0183702,28.7665286
Kaynarca,marmaray,1.0,40.8713681,29.2559613
Fıstıkağacı,metro,1.0,41.0281537,29.0283579
Yenikapı,marmaray,1.0,41.0051614,28.9515608
Çayırdere,other,0.5,41.2599697,28.1217427
Kabakça,other,0.5,41.215506,28.3647008
Gökçeali,halt,0.5,41.1755384,28.4537862
Çatalca,other,0.5,41.1505914,28.480199
Olimpiyat,metro,1.0,41.0795735,28.7672398
Ziya Gökalp,metro,1.0,41.0745493,28.7864545
İSTOÇ,metro,1.0,41.0649898,28.8260353
Mahmutbey,metro,1.0,41.0551119,28.8306332
Başak Konutları,metro,1.0,41.0978061,28.7913461
Metrokent,metro,1.0,41.1081483,28.8014943
İkitelli Sanayi,metro,1.0,41.0711324,28.803895
Kazlıçeşme,other,0.5,40.9926732,28.9168903
Levent,metro,1.0,41.0758404,29.0144803
Vezneciler-İstanbul Üniversitesi,metro,1.0,41.0122525,28.9597006
Nispetiye,metro,1.0,41.0773859,29.0240046
Etiler,metro,1.0,41.0824567,29.0375989
Ünalan,metro,1.0,40.9980939,29.0600259
Gayrettepe,metro,1.0,41.0668589,29.0106451
Yeni Mahalle,metro,1.0,41.0404044,28.8359881
Turgut Özal,metro,1.0,41.0812047,28.7975395
Siteler,metro,1.0,41.0882324,28.7965629
Pendik,metro,1.0,40.8886547,29.238581
Tavşantepe,metro,1.0,40.882159,29.2488342
Yakacık—Adnan Kahveci,metro,1.0,40.8966262,29.2271263
Tersane,marmaray,1.0,40.8611643,29.2732939
Güzelyalı,marmaray,1.0,40.8568284,29.2836051
Aydıntepe,marmaray,1.0,40.8522949,29.2931959
İçmeler,marmaray,1.0,40.8456867,29.3000382
Tuzla,marmaray,1.0,40.8299498,29.3224266
Levent,metro,1.0,41.0768932,29.0137913
Bostancı,marmaray,1.0,40.9539323,29.094902
Yamanevler,metro,1.0,41.0242009,29.1087471
Kısıklı,metro,1.0,41.0221852,29.0620794
Altunizade,metro,1.0,41.021911,29.0483118
Bağlarbaşı,metro,1.0,41.0214561,29.0368747
Suadiye,marmaray,1.0,40.9605061,29.0844231
Üsküdar,marmaray,1.0,41.0256394,29.0131466
