district,neighborhood,lat,lon,strategy,place_type,address,is_periphery
esenyurt,merkez,41.0350405,28.6760001,tight,administrative,"Merkez Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, Türkiye",0
basaksehir,ikitelli,41.0711324,28.803895,medium,station,"İkitelli Sanayi, Bedrettimn Dalan Bulvarı, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye",0
bayrampasa,yildirim,41.0637573,28.8914625,tight,administrative,"Yıldırım Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye",0
avcilar,merkez,40.9818362,28.7223189,tight,administrative,"Merkez Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye",0
esenler,sanayi,41.0376175,28.8824519,fallback,administrative,"Esenler, İstanbul, Marmara Bölgesi, Türkiye",0
umraniye,cakmak,41.0142622,29.1284385,tight,administrative,"Çakmak Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,celaliye,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
avcilar,yesilkent,41.031415,28.7023797,tight,administrative,"Yeşilkent Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye",0
fatih,kocamustafapasa,40.9999287,28.9331768,tight,station,"Kocamustafapaşa, İç Kalpakçı Sokağı, Samatya, Koca Mustafapaşa Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34098, Türkiye",0
sultanbeyli,mehmetakif,40.9670242,29.2671314,fallback,administrative,"Sultanbeyli, İstanbul, Marmara Bölgesi, Türkiye",0
avcilar,firuzkoy,41.0085033,28.7100714,tight,administrative,"Firuzköy Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34325, Türkiye",0
bagcilar,merkez,41.0323551,28.8633027,tight,administrative,"Merkez Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kasimpasa,41.0357755,28.9548382,tight,attraction,"Rixos Tersane İstanbul, 23, Kasımpaşa Hasköy Tüneli, Keçeci Piri, Keçeci Piri Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34440, Türkiye",0
beyoglu,piri pasa,41.0458248,28.9516905,tight,administrative,"Piri Paşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,cihangir,41.0330402,28.9853187,tight,administrative,"Cihangir Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,sehit muhtar,41.03677,28.9817468,tight,administrative,"Şehit Muhtar Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,piyalepasa,41.0486733,28.9622519,tight,administrative,"Piyalepaşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,ornektepe,41.0582756,28.9516655,tight,administrative,"Örnektepe Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,yenisehir,41.0422931,28.9781545,tight,administrative,"Yenişehir Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,halicioglu,41.048893,28.9498474,tight,administrative,"Halıcıoğlu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34445, Türkiye",0
beyoglu,omer avni,41.0348787,28.9921225,tight,administrative,"Ömer Avni Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34427, Türkiye",0
beyoglu,gumussuyu,41.0367709,28.9872112,tight,administrative,"Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Türkiye",0
beyoglu,firuzaga,41.0298852,28.9808144,tight,administrative,"Firuzağa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34433, Türkiye",0
beyoglu,kucuk piyale,41.0368442,28.9676137,tight,administrative,"Küçük Piyale Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kadimehmet efendi,41.0284233,28.9736808,fallback,administrative,"Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,sururi mehmet efendi,41.0368958,28.9724348,tight,administrative,"Sururi Mehmet Efendi Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,haciahmet,41.0422474,28.9738886,tight,administrative,"Hacıahmet Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,tomtom,41.030339,28.9774108,tight,administrative,"Tomtom Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kuloglu,41.0329925,28.9800743,tight,administrative,"Kuloğlu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,katip mustafa celebi,41.0344829,28.9830132,tight,administrative,"Katip Mustafa Çelebi Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kocatepe,41.0395972,28.9835719,tight,administrative,"Kocatepe Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,catma mescit,41.0321707,28.9717998,tight,administrative,"Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,hacimimi,41.0266104,28.9782607,tight,administrative,"Hacımimi Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34425, Türkiye",0
beyoglu,yahya kahya,41.0339473,28.9715307,tight,administrative,"Yahya Kahya Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kulaksiz,41.0376925,28.9607963,tight,administrative,"Kulaksız Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,sutluce,41.0510201,28.944692,tight,administrative,"Sütlüce Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kamer hatun,41.0349199,28.975414,tight,administrative,"Kamer Hatun Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,purtelas hasan efendi,41.0306987,28.9876883,tight,administrative,"Pürtelaş Hasan Efendi Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,camiikebir,41.0348968,28.9572267,tight,administrative,"Camiikebir Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kaptanpasa,41.0422767,28.963838,tight,administrative,"Kaptanpaşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34440, Türkiye",0
beyoglu,huseyinaga,41.0349523,28.9787507,tight,administrative,"Hüseyinağa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kalyoncu kullugu,41.036877,28.9755245,tight,administrative,"Kalyoncu Kulluğu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,bereketzade,41.0253357,28.9733181,tight,administrative,"Bereketzade Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34421, Türkiye",0
beyoglu,kececi piri,41.0405319,28.9555999,tight,administrative,"Keçeci Piri Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,evliya celebi,41.0303999,28.9731508,tight,administrative,"Evliya Çelebi Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye",0
beyoglu,bulbul,41.0392699,28.9797231,tight,administrative,"Bülbül Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,cukur,41.0373903,28.9780493,tight,administrative,"Çukur Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34435, Türkiye",0
beyoglu,sahkulu,41.0277868,28.9741706,tight,administrative,"Şahkulu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,bedrettin,41.028889,28.9695543,tight,administrative,"Bedrettin Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,asmali mescit,41.0313293,28.9752445,tight,administrative,"Asmalı Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kemankes karamustafa pasa,41.0240811,28.9789862,tight,administrative,"Kemankeş Karamustafa Paşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,kilicali pasa,41.0284202,28.9848586,tight,administrative,"Kılıçali Paşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,emekyemez,41.0260424,28.9702513,tight,administrative,"Emekyemez Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34421, Türkiye",0
beyoglu,istiklal,41.0416191,28.9692374,tight,administrative,"İstiklal Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye",0
beyoglu,mueyyetzade,41.0254855,28.9758779,tight,university,"Sabah Apartmanı, Müeyyetzade, 60,62, Lüleci Hendek Caddesi, Müeyyedzade, Müeyyedzade Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34425, Türkiye",0
buyukcekmece,kamiloba,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,yenimahalle,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,hurriyet,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,mimar sinan merkez,41.018155,28.5629541,tight,bus_stop,"Mimar Sinan, D-100, Tepecik, Mimarsinan Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34535, Türkiye",0
buyukcekmece,turkoba,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,kumburgaz,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,ulus,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,pinartepe,41.003226,28.6018529,tight,administrative,"Pınartepe Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,bahcelievler,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,ataturk,41.0122636,28.6004016,tight,administrative,"Atatürk Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,dizdariye,41.0206023,28.5784482,tight,administrative,"Dizdariye Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,guzelce,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,cakmakli,41.0533184,28.6231063,tight,administrative,"Çakmaklı Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,murat cesme,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,cumhuriyet,41.0182947,28.6199899,tight,administrative,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,fatih,41.0208293,28.586099,tight,administrative,"Fatih Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,alkent 2000,41.0771599,28.6194181,tight,administrative,"Alkent 2000 Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye",0
buyukcekmece,19 mayis,41.0224834,28.5818267,tight,administrative,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,ekinoba,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,ahmediye,41.021654,28.579757,fallback,administrative,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
arnavutkoy,tasoluk,41.1960582,28.7167959,tight,administrative,"Taşoluk Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye",0
kucukcekmece,halkali,41.0184293,28.7667075,medium,stop,"Halkalı, Kantar, İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye",0
sariyer,istinye,41.1150511,29.055486,tight,administrative,"İstinye Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, Türkiye",0
gaziosmanpasa,merkez,41.0573173,28.9117986,tight,administrative,"Merkez Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye",0
uskudar,ferah,41.0329956,29.0724337,tight,administrative,"Ferah Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34692, Türkiye",0
silivri,merkez,41.0741,28.2466,manual_district_center,manual,silivri ilce merkezi (manuel),1
beykoz,tokatkoy,41.1512733,29.0902937,tight,administrative,"Tokatköy Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, Türkiye",0
kagithane,gultepe,41.0796544,28.9731198,fallback,station,"Kağıthane, Cendere Caddesi, Çağlayan Mahallesi, Merkez Mahallesi, Kâğıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye",0
kagithane,merkez,41.0796544,28.9731198,fallback,station,"Kağıthane, Cendere Caddesi, Çağlayan Mahallesi, Merkez Mahallesi, Kâğıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye",0
gaziosmanpasa,fevzicakmak,41.0716725,28.9048028,tight,administrative,"Fevzi Çakmak Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye",0
uskudar,merkez,41.0268505,29.0182516,medium,subway,"M5 Üsküdar - Samandıra Merkez Metro Hattı, Paşa Limanı Caddesi, Sultantepe Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34674, Türkiye",0
beykoz,merkez,41.1344539,29.0926456,tight,administrative,"Merkez Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, Türkiye",0
sisli,mecidiyekoy,41.0700421,28.9962529,tight,administrative,"Mecidiyeköy Mahallesi, Osmanbey, Şişli, İstanbul, Marmara Bölgesi, Türkiye",0
maltepe,kucukyali,40.946258,29.1071674,medium,station,"Küçükyalı, Cumhuriyet Caddesi, Küçükyalı, Küçükyalı Merkez Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34840, Türkiye",0
sancaktepe,yenidogan,41.013189,29.2416963,tight,administrative,"Yenidoğan Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, Türkiye",0
fatih,haseki,41.0097719,28.9440091,tight,construction,"İstanbul Haseki 300 Yataklı Eğitim ve Araştırma Hastanesi yapım işi, Haseki Sultan Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, Türkiye",0
sariyer,buyukdere,41.1602485,29.0421459,tight,administrative,"Büyükdere Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, Türkiye",0
maltepe,cevizli,40.9162851,29.1470405,tight,administrative,"Cevizli Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34846, Türkiye",0
pendik,esenyali,40.8624956,29.2950466,tight,administrative,"Esenyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",0
sisli,okmeydani,41.0689099,28.9799603,tight,courthouse,"İstanbul Adalet Sarayı Savcı Mehmet Selim Kiraz Yerleşkesi, 223, Abide-i Hürriyet Caddesi, Merkez Mahallesi, Osmanbey, Şişli, İstanbul, Marmara Bölgesi, 34384, Türkiye",0
umraniye,merkez,41.0256362,29.0963049,fallback,administrative,"Ümraniye, İstanbul, Marmara Bölgesi, Türkiye",0
umraniye,yukaridudullu,41.0110683,29.1525726,tight,administrative,"Yukarı Dudullu Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye",0
sultanbeyli,necipfazil,40.9670242,29.2671314,fallback,administrative,"Sultanbeyli, İstanbul, Marmara Bölgesi, Türkiye",0
buyukcekmece,mimarsinan,41.0160925,28.5604373,tight,administrative,"Mimarsinan Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye",0
sultangazi,zubeydehanim,41.1043344,28.8614367,fallback,administrative,"Sultangazi, İstanbul, Marmara Bölgesi, Türkiye",0
arnavutkoy,merkez,41.185527,28.74134,tight,bus_stop,"Merkez Mahallesi, Gülcü Sokak, İslambey Mahallesi, Arnavutköy, İstanbul, Marmara Bölgesi, 34275, Türkiye",0
beykoz,pasabahce,41.1158743,29.0954233,tight,administrative,"Paşabahçe Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, Türkiye",0
