district,neighborhood,nearest_metro_km,metro_500m,metro_1km,weighted_1km,cafe_1km,restaurant_1km,university_2km,park_1km
esenyurt,merkez,7.817,0,0,0.0,1,2,1,29
basaksehir,ikitelli,0.0,1,2,2.0,5,8,1,0
bayrampasa,yildirim,1.737,0,0,0.0,8,10,0,34
avcilar,merkez,5.502,0,0,0.0,17,17,3,14
esenler,sanayi,0.515,0,3,3.0,5,1,4,26
umraniye,cakmak,0.641,0,1,1.0,14,27,0,39
buyukcekmece,celaliye,15.673,0,0,0.0,31,55,1,6
avcilar,yesilkent,5.573,0,0,0.0,0,0,1,5
fatih,kocamustafapasa,1.594,0,0,1.5,97,199,7,30
sultanbeyli,mehmetakif,3.525,0,0,0.0,43,70,0,5
avcilar,firuzkoy,4.862,0,0,0.0,0,3,3,12
bagcilar,merkez,0.616,0,2,2.0,18,39,2,35
beyoglu,kasimpasa,1.716,0,0,0.0,70,36,7,29
beyoglu,piri pasa,2.63,0,0,0.0,10,3,4,26
beyoglu,cihangir,0.557,0,1,1.5,328,345,17,25
beyoglu,sehit muhtar,0.349,1,1,1.5,233,286,16,24
beyoglu,piyalepasa,2.158,0,0,0.0,2,3,10,35
beyoglu,ornektepe,2.327,0,0,0.0,2,5,3,37
beyoglu,yenisehir,0.779,0,1,1.5,102,161,18,21
beyoglu,halicioglu,2.976,0,0,0.0,5,5,4,30
beyoglu,omer avni,0.655,0,1,1.5,187,179,20,21
beyoglu,gumussuyu,0.199,1,1,1.5,208,239,20,23
beyoglu,firuzaga,0.702,0,2,3.5,345,407,44,18
beyoglu,kucuk piyale,1.045,0,0,0.0,87,137,14,22
beyoglu,kadimehmet efendi,0.082,1,2,3.0,309,396,53,18
beyoglu,sururi mehmet efendi,0.959,0,1,1.5,173,240,15,23
beyoglu,haciahmet,1.084,0,0,0.0,78,145,17,19
beyoglu,tomtom,0.456,1,1,2.0,338,404,41,18
beyoglu,kuloglu,0.726,0,2,3.0,334,366,19,21
beyoglu,katip mustafa celebi,0.45,1,1,1.5,309,335,14,27
beyoglu,kocatepe,0.239,1,1,1.5,188,230,16,23
beyoglu,catma mescit,0.44,1,1,1.5,270,315,23,18
beyoglu,hacimimi,0.5,0,1,2.0,309,389,54,21
beyoglu,yahya kahya,0.639,0,1,1.5,232,267,15,20
beyoglu,kulaksiz,1.448,0,0,0.0,23,15,8,24
beyoglu,sutluce,2.781,0,0,0.0,14,12,3,31
beyoglu,kamer hatun,0.773,0,2,3.0,270,318,16,28
beyoglu,purtelas hasan efendi,0.837,0,1,1.5,249,269,20,18
beyoglu,camiikebir,1.494,0,0,0.0,65,49,7,30
beyoglu,kaptanpasa,1.726,0,0,0.0,5,10,11,20
beyoglu,huseyinaga,0.666,0,2,3.0,285,323,16,28
beyoglu,kalyoncu kullugu,0.851,0,2,3.0,211,276,16,29
beyoglu,bereketzade,0.331,1,2,3.0,310,380,53,24
beyoglu,kececi piri,1.98,0,0,0.0,39,21,8,28
beyoglu,evliya celebi,0.239,1,1,2.0,304,384,39,15
beyoglu,bulbul,0.507,0,1,1.5,188,230,17,21
beyoglu,cukur,0.633,0,1,1.5,218,279,15,30
beyoglu,sahkulu,0.133,1,2,3.0,313,408,55,21
beyoglu,bedrettin,0.274,1,2,3.0,241,321,50,17
beyoglu,asmali mescit,0.4,1,1,2.0,324,379,27,19
beyoglu,kemankes karamustafa pasa,0.703,0,1,2.0,301,352,53,23
beyoglu,kilicali pasa,1.018,0,0,1.0,330,358,46,18
beyoglu,emekyemez,0.323,2,2,3.0,264,354,53,22
beyoglu,istiklal,1.424,0,0,0.0,45,75,15,18
beyoglu,mueyyetzade,0.408,1,2,3.0,322,378,54,25
buyukcekmece,kamiloba,15.673,0,0,0.0,31,55,1,6
buyukcekmece,yenimahalle,15.673,0,0,0.0,31,55,1,6
buyukcekmece,hurriyet,15.673,0,0,0.0,31,55,1,6
buyukcekmece,mimar sinan merkez,17.079,0,0,0.0,0,13,1,4
buyukcekmece,turkoba,15.673,0,0,0.0,31,55,1,6
buyukcekmece,kumburgaz,15.673,0,0,0.0,31,55,1,6
buyukcekmece,ulus,15.673,0,0,0.0,31,55,1,6
buyukcekmece,pinartepe,13.92,0,0,0.0,0,2,2,9
buyukcekmece,bahcelievler,15.673,0,0,0.0,31,55,1,6
buyukcekmece,ataturk,13.955,0,0,0.0,14,11,2,8
buyukcekmece,dizdariye,15.781,0,0,0.0,30,55,1,6
buyukcekmece,guzelce,15.673,0,0,0.0,31,55,1,6
buyukcekmece,cakmakli,12.431,0,0,0.0,0,1,0,1
buyukcekmece,murat cesme,15.673,0,0,0.0,31,55,1,6
buyukcekmece,cumhuriyet,12.294,0,0,0.0,4,3,3,2
buyukcekmece,fatih,15.14,0,0,0.0,33,55,1,8
buyukcekmece,alkent 2000,12.393,0,0,0.0,1,4,2,1
buyukcekmece,19 mayis,15.502,0,0,0.0,33,57,1,6
buyukcekmece,ekinoba,15.673,0,0,0.0,31,55,1,6
buyukcekmece,ahmediye,15.673,0,0,0.0,31,55,1,6
arnavutkoy,tasoluk,1.226,0,0,0.0,0,3,0,6
kucukcekmece,halkali,0.016,1,1,1.0,1,2,1,4
sariyer,istinye,2.644,0,0,0.0,15,14,1,5
gaziosmanpasa,merkez,1.687,0,0,0.0,26,25,0,23
uskudar,ferah,1.394,0,0,0.0,7,7,1,26
silivri,merkez,41.988,0,0,0.0,20,33,1,17
beykoz,tokatkoy,5.171,0,0,0.0,4,2,1,5
kagithane,gultepe,0.0,2,3,3.0,9,14,4,36
kagithane,merkez,0.0,2,3,3.0,9,14,4,36
gaziosmanpasa,fevzicakmak,1.551,0,0,0.0,9,5,0,40
uskudar,merkez,0.449,2,3,3.0,33,29,11,28
beykoz,merkez,5.242,0,0,0.0,14,13,1,9
