district,sub_district,neighborhood,location_id,listing_count
arnavutkoy,arnavutkoy,anadolu,0,32
arnavutkoy,arnavutkoy,arnavutkoy merkez,1,27
arnavutkoy,arnavutkoy,hadimkoy,2,34
arnavutkoy,arnavutkoy,i̇mrahor,3,2
arnavutkoy,arnavutkoy,i̇slambey,4,33
arnavutkoy,arnavutkoy,mustafa kemal pasa,5,18
arnavutkoy,arnavutkoy,nenehatun,6,8
arnavutkoy,arnavutkoy,yavuz selim,7,8
arnavutkoy,arnavutkoy,yunus emre,8,6
arnavutkoy,bogazkoy,ataturk,9,13
arnavutkoy,bogazkoy,bogazkoy i̇stiklal,10,4
arnavutkoy,bolluca,hicret,11,6
arnavutkoy,bolluca,mavigol,12,17
arnavutkoy,bolluca,merkez,13,15
arnavutkoy,hadimkoy(boyalik),deliklikaya,14,14
arnavutkoy,hadimkoy(boyalik),dursunkoy,15,1
arnavutkoy,hadimkoy(boyalik),hastane,16,5
arnavutkoy,hadimkoy(boyalik),omerli,17,7
arnavutkoy,haracci,haracci,18,10
arnavutkoy,haracci,karlibayir,19,16
arnavutkoy,koyler,tayakadin,20,1
arnavutkoy,koyler,yassioren,21,1
arnavutkoy,tasoluk,adnan menderes,22,1
arnavutkoy,tasoluk,fatih,23,3
arnavutkoy,tasoluk,maresal fevzi cakmak,24,6
arnavutkoy,tasoluk,mehmet akif ersoy,25,10
arnavutkoy,tasoluk,tasoluk,26,12
atasehir,atasehir,asikveysel,27,12
atasehir,atasehir,ataturk,28,83
atasehir,atasehir,mevlana,29,12
atasehir,atasehir,mimar sinan,30,9
atasehir,atasehir,yenisehir,31,16
atasehir,barbaros,merkez,32,69
atasehir,ferhatpasa,ferhatpasa,33,5
atasehir,i̇cerenkoy,i̇cerenkoy,34,60
atasehir,kayisdagi,i̇nonu,35,82
atasehir,kayisdagi,kayisdagi,36,95
atasehir,kucukbakkalkoy,kucukbakkalkoy,37,40
atasehir,namik kemal,mustafa kemal,38,4
atasehir,ornek,esatpasa,39,32
atasehir,ornek,fetih,40,6
atasehir,ornek,ornek,41,45
atasehir,yeni camlica,yeni camlica,42,4
atasehir,yeni sahra,merkez,43,9
